final_id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolate,sample_type,lat_lon,isolation_source,HOST,strain,env_biome,genotype,Sample_tittle,tissue,collected_by,sex,Sample_name,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Scientific_Name,Submitter_Id,dev_stage,ArrayExpress-SPECIES,AssemblyName,isol_growth_condt,estimated_size,ploidy,env_feature,env_material,num_replicons,propagation,env_broad_scale,env_local_scale,env_medium,BARCODE,GEO_Accession (exp),source_name,BIOMATERIAL_PROVIDER,culture_collection,tax_id_x,altitude,Cultivar,Ecotype,type,biotic_relationship,host_body_product,Host_disease,host_genotype,host_scientific_name,host_taxid,pathogenicity,samp_mat_process,trophic_level,AGE,BREED,sample_description_x,isolation-source,health_state,host_body_habitat,host_tissue_sampled,Birth_date,birth_location,breeding_history,breeding_method,sample_comment,id,secondary_study_accession,parent_study,submission_accession,read_count,fastq_md5,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_aspera,fastq_1,fastq_2,md5_1,md5_2,single_end,location,collection_date_year
SRR21529632,SRR21529632,WGS,460,435163578,PRJNA879307,SAMN30804750,272686335,ROBERT KOCH-INSTITUT,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX17531998,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P427-B2,SRP396690,2022-09-12T11:59:00Z,1,P427-B2-shortReads-2,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P427,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529633,SRR21529633,WGS,463,1466989538,PRJNA879307,SAMN30804750,805385318,ROBERT KOCH-INSTITUT,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX17531997,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P427-B2,SRP396690,2022-09-12T12:04:00Z,1,P427-B2-shortReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P427,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529634,SRR21529634,WGS,598,315061068,PRJNA879307,SAMN30804749,192873892,ROBERT KOCH-INSTITUT,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17531996,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P424-A5,SRP396690,2022-09-12T12:33:00Z,1,P424-A5-shortReads-3,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P424,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529635,SRR21529635,WGS,502,686678106,PRJNA879307,SAMN30804749,444007028,ROBERT KOCH-INSTITUT,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17531995,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P424-A5,SRP396690,2022-09-12T12:11:00Z,1,P424-A5-shortReads-2,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P424,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529636,SRR21529636,WGS,504,1898442932,PRJNA879307,SAMN30804749,1076149954,ROBERT KOCH-INSTITUT,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX17531994,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P424-A5,SRP396690,2022-09-12T12:11:00Z,1,P424-A5-shortReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P424,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529637,SRR21529637,WGS,599,533167635,PRJNA879307,SAMN30804753,332908315,ROBERT KOCH-INSTITUT,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX17531993,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P407-E2,SRP396690,2022-09-12T12:00:00Z,1,P407-E2-shortReads-3,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P407,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529638,SRR21529638,WGS,447,296520697,PRJNA879307,SAMN30804753,188215268,ROBERT KOCH-INSTITUT,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17531992,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P407-E2,SRP396690,2022-09-12T12:02:00Z,1,P407-E2-shortReads-2,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P407,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529639,SRR21529639,WGS,7762,1123045764,PRJNA879307,SAMN30804748,784130310,ROBERT KOCH-INSTITUT,public,"sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17531991,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P392-H2,SRP396690,2022-09-12T12:25:00Z,1,P392-H2-longReads-1,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P392,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529640,SRR21529640,WGS,445,1454296603,PRJNA879307,SAMN30804753,806583455,ROBERT KOCH-INSTITUT,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17531990,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P407-E2,SRP396690,2022-09-12T12:17:00Z,1,P407-E2-shortReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P407,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529641,SRR21529641,WGS,598,587122420,PRJNA879307,SAMN30804748,356187448,ROBERT KOCH-INSTITUT,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17531989,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P392-H2,SRP396690,2022-09-12T12:29:00Z,1,P392-H2-shortReads-3,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P392,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
