run,biosample,collection_date,env_biome,genotype,isolate,isolation_source,sample_tittle,sample_type,releasedate,loaddate,spots,bases,spots_with_mates,avglength,size_mb,assemblyname,download_path,experiment,libraryname,librarystrategy,libraryselection,librarysource,librarylayout,platform,model,srastudy,bioproject,sample,taxid,scientificname,samplename,tumor,centername,consent,outbreak_number_sporadic,country_geoloc,region_geoloc,city_geoloc
SRR3177743,SAMN04494411,1987-07-31,giardiasis,A,S1/16,sheep,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:53:49,2301755,1155481010,2301755,502,780,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177743/SRR3177743.sralite.1,SRX1592166,S1/16,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300268,5741,Giardia duodenalis,S1/16,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,AB,near Strathmore
SRR3177744,SAMN04494412,1985-02-07,giardiasis,A,VANC/85/UBC/1,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:52:43,1768977,842033052,1768977,476,463,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177744/SRR3177744.sralite.1,SRX1592171,VANC/85/UBC/1,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300271,5741,Giardia duodenalis,VANC/85/UBC/1,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Hornby Island
SRR3177745,SAMN04494413,1985-03-14,giardiasis,A,VANC/85/UBC/2,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:54:04,2592677,1301523854,2592677,502,740,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177745.sralite.1,SRX1592177,VANC/85/UBC/2,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300280,5741,Giardia duodenalis,VANC/85/UBC/2,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Smithers
SRR3177746,SAMN04494414,1985-03-26,giardiasis,A,VANC/85/UBC/5,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:58:16,4395977,2206780454,4395977,502,1253,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177746.sralite.1,SRX1592186,VANC/85/UBC/5,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300286,5741,Giardia duodenalis,VANC/85/UBC/5,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Coquitlam
SRR3177747,SAMN04494415,1985-04-11,watershed,A,VANC/85/UBC/7,beaver,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:56:43,2719294,1365085588,2719294,502,770,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177747/SRR3177747.sralite.1,SRX1592196,VANC/85/UBC/7,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300298,5741,Giardia duodenalis,VANC/85/UBC/7,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,"Pantage Creek, Quesnel"
SRR3177748,SAMN04494416,1985-04-17,watershed,B,VANC/85/UBC/9,beaver,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 16:03:51,3147973,1580282446,3147973,502,936,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177748.sralite.1,SRX1592207,VANC/85/UBC/9,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300311,5741,Giardia duodenalis,VANC/85/UBC/9,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,"Zimacord River, Terrace"
SRR3177750,SAMN04494417,1986-09-11,giardiasis,A,VANC/86/UBC/3,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:55:30,1678926,842820852,1678926,502,479,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177750.sralite.1,SRX1592214,VANC/86/UBC/3,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300318,5741,Giardia duodenalis,VANC/86/UBC/3,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Ashcroft
SRR3177752,SAMN04494418,1987-10-01,giardiasis,A,VANC/87/UBC/22,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:55:28,1442827,724299154,1442827,502,417,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177752/SRR3177752.sralite.1,SRX1592230,VANC/87/UBC/22,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300332,5741,Giardia duodenalis,VANC/87/UBC/22,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,North Vancouver
SRR3177753,SAMN04494419,1987-11-01,giardiasis,A,VANC/87/UBC/23,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:58:24,4367338,2192403676,4367338,502,1221,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177753.sralite.1,SRX1592245,VANC/87/UBC/23,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300349,5741,Giardia duodenalis,VANC/87/UBC/23,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Prince George
SRR3177754,SAMN04494420,1987-10-03,giardiasis,B,VANC/87/UBC/25,human,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:56:31,2442937,1226354374,2442937,502,733,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177754/SRR3177754.sralite.1,SRX1592255,VANC/87/UBC/25,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300355,5741,Giardia duodenalis,VANC/87/UBC/25,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Kelowna
